source,figure,k_um_inv,omega_over_2pi_kHz,sigma_k_um_inv,sigma_omega_over_2pi_kHz,notes,Unnamed: 7,f_th_kHz,resid_kHz,rel_err,z_score,outlier
Steinhauer_et_al_2001_cond-mat_0111438,Fig3a,0.703804544020029,0.216519034027698,0.05,0.1,redigitized_from_arxiv_fig3a; sigma_model=max(0.03*f,0.10) kHz; k_sigma=0.05 um^-1,0.332959025599061,-0.116439991571363,-0.34971267519138,-1.16439991571363,False
Steinhauer_et_al_2001_cond-mat_0111438,Fig3a,1.06521790397193,0.291746712053885,0.05,0.1,redigitized_from_arxiv_fig3a; sigma_model=max(0.03*f,0.10) kHz; k_sigma=0.05 um^-1,0.50636618099431,-0.214619468940425,-0.423842422728537,-2.14619468940425,False
Steinhauer_et_al_2001_cond-mat_0111438,Fig3a,1.40760836241824,0.410116411329795,0.05,0.1,redigitized_from_arxiv_fig3a; sigma_model=max(0.03*f,0.10) kHz; k_sigma=0.05 um^-1,0.673351728780546,-0.263235317450751,-0.390932860493988,-2.63235317450751,False
Steinhauer_et_al_2001_cond-mat_0111438,Fig3a,1.75000027210818,0.606010954616589,0.05,0.1,redigitized_from_arxiv_fig3a; sigma_model=max(0.03*f,0.10) kHz; k_sigma=0.05 um^-1,0.843800845382265,-0.237789890765676,-0.281808073631345,-2.37789890765676,False
Steinhauer_et_al_2001_cond-mat_0111438,Fig3a,2.09239218179812,0.760527233115469,0.05,0.1,redigitized_from_arxiv_fig3a; sigma_model=max(0.03*f,0.10) kHz; k_sigma=0.05 um^-1,1.01849934146278,-0.257972108347309,-0.253286475351871,-2.57972108347309,False
Steinhauer_et_al_2001_cond-mat_0111438,Fig3a,2.45380409050639,0.816457374209716,0.05,0.1,redigitized_from_arxiv_fig3a; sigma_model=max(0.03*f,0.10) kHz; k_sigma=0.05 um^-1,1.20834399225051,-0.391886618040791,-0.324317098900714,-3.91886618040791,False
Steinhauer_et_al_2001_cond-mat_0111438,Fig3a,2.77717454993436,1.0019226165982,0.05,0.1,redigitized_from_arxiv_fig3a; sigma_model=max(0.03*f,0.10) kHz; k_sigma=0.05 um^-1,1.38361863298985,-0.38169601639165,-0.27586793592599,-3.8169601639165,False
Steinhauer_et_al_2001_cond-mat_0111438,Fig3a,3.13858790988627,1.14014515108428,0.05,0.1,redigitized_from_arxiv_fig3a; sigma_model=max(0.03*f,0.10) kHz; k_sigma=0.05 um^-1,1.58628768331077,-0.446142532226485,-0.281249446062226,-4.46142532226485,False
Steinhauer_et_al_2001_cond-mat_0111438,Fig3a,4.18478363797442,1.68620283704256,0.05,0.1,redigitized_from_arxiv_fig3a; sigma_model=max(0.03*f,0.10) kHz; k_sigma=0.05 um^-1,2.21971658932402,-0.533513752281465,-0.240352193990647,-5.33513752281465,False
Steinhauer_et_al_2001_cond-mat_0111438,Fig3a,6.80978295770397,3.62496066100449,0.05,0.11,redigitized_from_arxiv_fig3a; sigma_model=max(0.03*f,0.10) kHz; k_sigma=0.05 um^-1,4.19198730722505,-0.567026646220561,-0.135264399594738,-5.2140947102346,False
Steinhauer_et_al_2001_cond-mat_0111438,Fig3a,10.3478264024443,7.31639679358717,0.05,0.22,redigitized_from_arxiv_fig3a; sigma_model=max(0.03*f,0.10) kHz; k_sigma=0.05 um^-1,7.90922947969586,-0.59283268610869,-0.0749545436291333,-2.70093190602743,False
Steinhauer_et_al_2001_cond-mat_0111438,Fig3a,14.5896751168264,13.3679827061856,0.05,0.4,redigitized_from_arxiv_fig3a; sigma_model=max(0.03*f,0.10) kHz; k_sigma=0.05 um^-1,14.1595427849791,-0.791560078793451,-0.0559029405690391,-1.97377095255911,False
