source,figure,k_um_inv,omega_over_2pi_kHz,sigma_k_um_inv,sigma_omega_over_2pi_kHz,notes
Shammass2012_arXiv1207.3440v2_Fig2_filled_circles,Fig. 2,0.00635103926097,1.15386139595,,,digitized from PNG; filled circles only; error bars not digitized
Shammass2012_arXiv1207.3440v2_Fig2_filled_circles,Fig. 2,0.0693418013857,0.171793728637,,,digitized from PNG; filled circles only; error bars not digitized
Shammass2012_arXiv1207.3440v2_Fig2_filled_circles,Fig. 2,0.115263489397,1.81341084239,,,digitized from PNG; filled circles only; error bars not digitized
Shammass2012_arXiv1207.3440v2_Fig2_filled_circles,Fig. 2,0.277193995381,1.04473175806,,,digitized from PNG; filled circles only; error bars not digitized
Shammass2012_arXiv1207.3440v2_Fig2_filled_circles,Fig. 2,0.351695360067,1.44604570641,,,digitized from PNG; filled circles only; error bars not digitized
Shammass2012_arXiv1207.3440v2_Fig2_filled_circles,Fig. 2,0.434836237665,1.91238543,,,digitized from PNG; filled circles only; error bars not digitized
Shammass2012_arXiv1207.3440v2_Fig2_filled_circles,Fig. 2,0.521362586605,0.471703211338,,,digitized from PNG; filled circles only; error bars not digitized
Shammass2012_arXiv1207.3440v2_Fig2_filled_circles,Fig. 2,0.620150115473,1.90696983207,,,digitized from PNG; filled circles only; error bars not digitized
Shammass2012_arXiv1207.3440v2_Fig2_filled_circles,Fig. 2,0.678341761567,0.0748535674205,,,digitized from PNG; filled circles only; error bars not digitized
Shammass2012_arXiv1207.3440v2_Fig2_filled_circles,Fig. 2,0.802020785219,1.90696983207,,,digitized from PNG; filled circles only; error bars not digitized
Shammass2012_arXiv1207.3440v2_Fig2_filled_circles,Fig. 2,0.927764394362,1.04676618445,,,digitized from PNG; filled circles only; error bars not digitized
Shammass2012_arXiv1207.3440v2_Fig2_filled_circles,Fig. 2,1.12419168591,1.90696983207,,,digitized from PNG; filled circles only; error bars not digitized
Shammass2012_arXiv1207.3440v2_Fig2_filled_circles,Fig. 2,1.1675152215,0.078234738957,,,digitized from PNG; filled circles only; error bars not digitized
Shammass2012_arXiv1207.3440v2_Fig2_filled_circles,Fig. 2,1.49488242704,0.373375175872,,,digitized from PNG; filled circles only; error bars not digitized
Shammass2012_arXiv1207.3440v2_Fig2_filled_circles,Fig. 2,1.51391454965,0.466934165552,,,digitized from PNG; filled circles only; error bars not digitized
Shammass2012_arXiv1207.3440v2_Fig2_filled_circles,Fig. 2,1.80406256561,1.14823028064,,,digitized from PNG; filled circles only; error bars not digitized
Shammass2012_arXiv1207.3440v2_Fig2_filled_circles,Fig. 2,2.032699979,0.573107676986,,,digitized from PNG; filled circles only; error bars not digitized
Shammass2012_arXiv1207.3440v2_Fig2_filled_circles,Fig. 2,2.39728637413,1.34165552088,,,digitized from PNG; filled circles only; error bars not digitized
Shammass2012_arXiv1207.3440v2_Fig2_filled_circles,Fig. 2,2.63547134159,1.34707111881,,,digitized from PNG; filled circles only; error bars not digitized
Shammass2012_arXiv1207.3440v2_Fig2_filled_circles,Fig. 2,2.85111799286,0.078234738957,,,digitized from PNG; filled circles only; error bars not digitized
Shammass2012_arXiv1207.3440v2_Fig2_filled_circles,Fig. 2,3.30059836238,1.14823028064,,,digitized from PNG; filled circles only; error bars not digitized
Shammass2012_arXiv1207.3440v2_Fig2_filled_circles,Fig. 2,3.3447669536,1.44604570641,,,digitized from PNG; filled circles only; error bars not digitized
Shammass2012_arXiv1207.3440v2_Fig2_filled_circles,Fig. 2,3.72149905522,1.2480965312,,,digitized from PNG; filled circles only; error bars not digitized
Shammass2012_arXiv1207.3440v2_Fig2_filled_circles,Fig. 2,4.16318496746,1.14823028064,,,digitized from PNG; filled circles only; error bars not digitized
Shammass2012_arXiv1207.3440v2_Fig2_filled_circles,Fig. 2,4.45157988663,0.573107676986,,,digitized from PNG; filled circles only; error bars not digitized
