vector_class,lambda_index,lambda_m,gap_index,gap_m,harmonic,quadrature,value_N_m
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,0,+1.00000000000000005e-04,2,RE,-1.34434674794871550e-28
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,0,+1.00000000000000005e-04,2,IM,+3.90838432097889039e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,0,+1.00000000000000005e-04,4,RE,-2.82790512711625140e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,0,+1.00000000000000005e-04,4,IM,+2.99309659924406678e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,0,+1.00000000000000005e-04,6,RE,-2.35569455640728053e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,0,+1.00000000000000005e-04,6,IM,+1.91775983448467969e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,1,+1.21152765862858885e-04,2,RE,-6.55973720303258862e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,1,+1.21152765862858885e-04,2,IM,+3.89942357134504067e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,1,+1.21152765862858885e-04,4,RE,-4.06959292681822425e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,1,+1.21152765862858885e-04,4,IM,+2.98191543595955632e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,1,+1.21152765862858885e-04,6,RE,-2.79873159669764999e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,1,+1.21152765862858885e-04,6,IM,+1.90788815970891410e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,2,+1.46779926762206892e-04,2,RE,-1.15457006137088161e-28
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,2,+1.46779926762206892e-04,2,IM,+3.88860327165638519e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,2,+1.46779926762206892e-04,4,RE,-2.14254209272582382e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,2,+1.46779926762206892e-04,4,IM,+2.96843250715079447e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,2,+1.46779926762206892e-04,6,RE,-3.03524380229452902e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,2,+1.46779926762206892e-04,6,IM,+1.89600157927957011e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,3,+1.77827941003892270e-04,2,RE,-5.24959554705478673e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,3,+1.77827941003892270e-04,2,IM,+3.87554659613485262e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,3,+1.77827941003892270e-04,4,RE,-4.45719177567407005e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,3,+1.77827941003892270e-04,4,IM,+2.95218999375299768e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,3,+1.77827941003892270e-04,6,RE,-4.65761746977607481e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,3,+1.77827941003892270e-04,6,IM,+1.88170733572632322e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,4,+2.15443469003188449e-04,2,RE,-6.21241703419614765e-30
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,4,+2.15443469003188449e-04,2,IM,+3.85980453063488233e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,4,+2.15443469003188449e-04,4,RE,-1.18770295937665511e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,4,+2.15443469003188449e-04,4,IM,+2.93264639704322389e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,4,+2.15443469003188449e-04,6,RE,-3.14720068793575276e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,4,+2.15443469003188449e-04,6,IM,+1.86454462818855866e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,5,+2.61015721568253574e-04,2,RE,+4.47513149570071451e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,5,+2.61015721568253574e-04,2,IM,+3.84084396391037272e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,5,+2.61015721568253574e-04,4,RE,+7.38457542748190481e-30
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,5,+2.61015721568253574e-04,4,IM,+2.90916466535369936e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,5,+2.61015721568253574e-04,6,RE,-4.65788892896370148e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,5,+2.61015721568253574e-04,6,IM,+1.84397679158128945e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,6,+3.16227766016837939e-04,2,RE,-6.33419020596366271e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,6,+3.16227766016837939e-04,2,IM,+3.81803471491839917e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,6,+3.16227766016837939e-04,4,RE,-5.46137293341372467e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,6,+3.16227766016837939e-04,4,IM,+2.88100028950247735e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,6,+3.16227766016837939e-04,6,RE,-3.08623232777674290e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,6,+3.16227766016837939e-04,6,IM,+1.81938455388017114e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,7,+3.83118684955728529e-04,2,RE,-1.11814758406915883e-28
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,7,+3.83118684955728529e-04,2,IM,+3.79063586602767886e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,7,+3.83118684955728529e-04,4,RE,-3.36776254675473972e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,7,+3.83118684955728529e-04,4,IM,+2.84729034136604758e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,7,+3.83118684955728529e-04,6,RE,-2.67540675260016057e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,7,+3.83118684955728529e-04,6,IM,+1.79006163046276880e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,8,+4.64158883361277732e-04,2,RE,-5.34628641478423149e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,8,+4.64158883361277732e-04,2,IM,+3.75778206777223955e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,8,+4.64158883361277732e-04,4,RE,-2.35227498758302664e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,8,+4.64158883361277732e-04,4,IM,+2.80704496865778508e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,8,+4.64158883361277732e-04,6,RE,-4.46459736353454126e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,8,+4.64158883361277732e-04,6,IM,+1.75521449089043720e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,9,+5.62341325190349097e-04,2,RE,-2.12860396434025875e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,9,+5.62341325190349097e-04,2,IM,+3.71847089989752464e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,9,+5.62341325190349097e-04,4,RE,-4.00690667071463742e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,9,+5.62341325190349097e-04,4,IM,+2.75914358255351744e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,9,+5.62341325190349097e-04,6,RE,-3.05984460176326372e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,9,+5.62341325190349097e-04,6,IM,+1.71396886455202251e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,10,+6.81292069057960856e-04,2,RE,-7.82791326346140463e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,10,+6.81292069057960856e-04,2,IM,+3.67155294491737745e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,10,+6.81292069057960856e-04,4,RE,-3.45683928049680262e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,10,+6.81292069057960856e-04,4,IM,+2.70233890396377533e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,10,+6.81292069057960856e-04,6,RE,-2.88434622166318534e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,10,+6.81292069057960856e-04,6,IM,+1.66538641951051340e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,11,+8.25404185268018118e-04,2,RE,-3.68909760337655441e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,11,+8.25404185268018118e-04,2,IM,+3.61572697713435989e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,11,+8.25404185268018118e-04,4,RE,-2.45609535291506221e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,11,+8.25404185268018118e-04,4,IM,+2.63527315878038360e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,11,+8.25404185268018118e-04,6,RE,-3.92247642416561582e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,11,+8.25404185268018118e-04,6,IM,+1.60849597843875365e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,12,+1.00000000000000002e-03,2,RE,-4.55521942715266905e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,12,+1.00000000000000002e-03,2,IM,+3.54954359666394020e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,12,+1.00000000000000002e-03,4,RE,-1.02731772376882996e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,12,+1.00000000000000002e-03,4,IM,+2.55651195973990852e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,12,+1.00000000000000002e-03,6,RE,-1.67330651953613832e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,12,+1.00000000000000002e-03,6,IM,+1.54234445128567052e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,13,+1.21152765862858765e-03,2,RE,+6.40171928117081377e-31
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,13,+1.21152765862858765e-03,2,IM,+3.47142171112101645e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,13,+1.21152765862858765e-03,4,RE,-2.80018090439631625e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,13,+1.21152765862858765e-03,4,IM,+2.46460260062123940e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,13,+1.21152765862858765e-03,6,RE,-2.58695577837053234e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,13,+1.21152765862858765e-03,6,IM,+1.46607303433493134e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,14,+1.46779926762206914e-03,2,RE,+1.88211300572465016e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,14,+1.46779926762206914e-03,2,IM,+3.37968338777785911e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,14,+1.46779926762206914e-03,4,RE,-9.41099771878817315e-30
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,14,+1.46779926762206914e-03,4,IM,+2.35816426348951699e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,14,+1.46779926762206914e-03,6,RE,-2.09116282661590973e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,14,+1.46779926762206914e-03,6,IM,+1.37902360015430500e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,15,+1.77827941003892275e-03,2,RE,-5.16467241468066250e-30
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,15,+1.77827941003892275e-03,2,IM,+3.27261356479171728e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,15,+1.77827941003892275e-03,4,RE,-2.32178808547396632e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,15,+1.77827941003892275e-03,4,IM,+2.23601740718270846e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,15,+1.77827941003892275e-03,6,RE,-1.50221781054426234e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,15,+1.77827941003892275e-03,6,IM,+1.28087777719251847e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,16,+2.15443469003188210e-03,2,RE,+2.11733958956956491e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,16,+2.15443469003188210e-03,2,IM,+3.14855158107707568e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,16,+2.15443469003188210e-03,4,RE,-1.83422837785566260e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,16,+2.15443469003188210e-03,4,IM,+2.09735748071143572e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,16,+2.15443469003188210e-03,6,RE,-2.32756830610601916e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,16,+2.15443469003188210e-03,6,IM,+1.17182597140813355e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,17,+2.61015721568253574e-03,2,RE,-1.55799092583330582e-30
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,17,+2.61015721568253574e-03,2,IM,+3.00602095602817322e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,17,+2.61015721568253574e-03,4,RE,-2.18522401546556497e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,17,+2.61015721568253574e-03,4,IM,+1.94197293645412062e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,17,+2.61015721568253574e-03,6,RE,-9.30776381336276154e-30
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,17,+2.61015721568253574e-03,6,IM,+1.05275449845273383e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,18,+3.16227766016837939e-03,2,RE,-5.39259007072951970e-30
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,18,+3.16227766016837939e-03,2,IM,+2.84390166342776442e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,18,+3.16227766016837939e-03,4,RE,-1.53676685501909185e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,18,+3.16227766016837939e-03,4,IM,+1.77049806537307536e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,18,+3.16227766016837939e-03,6,RE,-2.83495202051532959e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,18,+3.16227766016837939e-03,6,IM,+9.25425583223875690e-14
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,19,+3.83118684955728508e-03,2,RE,-4.23710965162180537e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,19,+3.83118684955728508e-03,2,IM,+2.66164455690735328e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,19,+3.83118684955728508e-03,4,RE,-1.29273881786806873e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,19,+3.83118684955728508e-03,4,IM,+1.58467656519227716e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,19,+3.83118684955728508e-03,6,RE,-6.44125916809567729e-30
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,19,+3.83118684955728508e-03,6,IM,+7.92608216859690881e-14
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,20,+4.64158883361277721e-03,2,RE,-1.28588406815680613e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,20,+4.64158883361277721e-03,2,IM,+2.45951995298262555e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,20,+4.64158883361277721e-03,4,RE,-1.06720673530042609e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,20,+4.64158883361277721e-03,4,IM,+1.38759230099937298e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,20,+4.64158883361277721e-03,6,RE,-2.36491051488094896e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,20,+4.64158883361277721e-03,6,IM,+6.58101475654244895e-14
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,21,+5.62341325190349097e-03,2,RE,+8.95445798240900144e-30
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,21,+5.62341325190349097e-03,2,IM,+2.23888133075778276e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,21,+5.62341325190349097e-03,4,RE,-1.69926903053307515e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,21,+5.62341325190349097e-03,4,IM,+1.18380214972779567e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,21,+5.62341325190349097e-03,6,RE,-2.17399688148955116e-30
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,21,+5.62341325190349097e-03,6,IM,+5.26583615201973396e-14
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,22,+6.81292069057960834e-03,2,RE,-1.09903358020806145e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,22,+6.81292069057960834e-03,2,IM,+2.00241100393502492e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,22,+6.81292069057960834e-03,4,RE,-1.83946419918131917e-30
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,22,+6.81292069057960834e-03,4,IM,+9.79288617797769026e-14
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,22,+6.81292069057960834e-03,6,RE,-1.61885256139823279e-30
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,22,+6.81292069057960834e-03,6,IM,+4.03231737666100313e-14
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,23,+8.25404185268018183e-03,2,RE,-3.16773170750388273e-29
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,23,+8.25404185268018183e-03,2,IM,+1.75429886873071010e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,23,+8.25404185268018183e-03,4,RE,-3.21265215645195275e-30
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,23,+8.25404185268018183e-03,4,IM,+7.81148118463516045e-14
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,23,+8.25404185268018183e-03,6,RE,-9.78908213617234474e-30
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,23,+8.25404185268018183e-03,6,IM,+2.93100624694932231e-14
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,24,+1.00000000000000002e-02,2,RE,-1.68026628058853881e-30
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,24,+1.00000000000000002e-02,2,IM,+1.50029088229325203e-13
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,24,+1.00000000000000002e-02,4,RE,-8.52097165033068827e-31
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,24,+1.00000000000000002e-02,4,IM,+5.96958849807901293e-14
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,24,+1.00000000000000002e-02,6,RE,+4.17666933159881755e-30
NEWTONIAN,NEWTONIAN,+0.00000000000000000e+00,24,+1.00000000000000002e-02,6,IM,+2.00330718634829440e-14
