vector_class,lambda_index,lambda_m,gap_index,gap_m,harmonic,quadrature,value_N_m
TOTAL,REFERENCE,+1.00000000000000002e-03,0,+1.00000000000000005e-04,2,RE,-4.43475066767089559e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,0,+1.00000000000000005e-04,2,IM,+3.90990910640268120e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,0,+1.00000000000000005e-04,4,RE,+7.51146617955376328e-30
TOTAL,REFERENCE,+1.00000000000000002e-03,0,+1.00000000000000005e-04,4,IM,+2.99593822084797796e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,0,+1.00000000000000005e-04,6,RE,-2.30986100818585118e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,0,+1.00000000000000005e-04,6,IM,+1.92155326954757730e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,1,+1.21152765862858885e-04,2,RE,-4.62064635182061801e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,1,+1.21152765862858885e-04,2,IM,+3.90091484995780425e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,1,+1.21152765862858885e-04,4,RE,-5.32847331161918573e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,1,+1.21152765862858885e-04,4,IM,+2.98469421889945856e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,1,+1.21152765862858885e-04,6,RE,-1.45785069515086012e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,1,+1.21152765862858885e-04,6,IM,+1.91159683909856293e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,2,+1.46779926762206892e-04,2,RE,+2.57008254672359928e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,2,+1.46779926762206892e-04,2,IM,+3.89005494476660295e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,2,+1.46779926762206892e-04,4,RE,-4.02032665566066879e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,2,+1.46779926762206892e-04,4,IM,+2.97113702553920089e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,2,+1.46779926762206892e-04,6,RE,-3.21335955467114328e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,2,+1.46779926762206892e-04,6,IM,+1.89961011776571999e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,3,+1.77827941003892270e-04,2,RE,-5.94841664584455526e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,3,+1.77827941003892270e-04,2,IM,+3.87695169829062301e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,3,+1.77827941003892270e-04,4,RE,-4.77266007249732954e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,3,+1.77827941003892270e-04,4,IM,+2.95480720313889386e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,3,+1.77827941003892270e-04,6,RE,-3.91845864227562696e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,3,+1.77827941003892270e-04,6,IM,+1.88519818045526951e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,4,+2.15443469003188449e-04,2,RE,-4.29677221960022115e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,4,+2.15443469003188449e-04,2,IM,+3.86115521579196108e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,4,+2.15443469003188449e-04,4,RE,-2.70874476881710513e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,4,+2.15443469003188449e-04,4,IM,+2.93516161140952252e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,4,+2.15443469003188449e-04,6,RE,-1.73233148235219194e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,4,+2.15443469003188449e-04,6,IM,+1.86789803417264198e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,5,+2.61015721568253574e-04,2,RE,-6.75788287923979225e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,5,+2.61015721568253574e-04,2,IM,+3.84213154808032028e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,5,+2.61015721568253574e-04,4,RE,-5.21037959647464964e-30
TOTAL,REFERENCE,+1.00000000000000002e-03,5,+2.61015721568253574e-04,4,IM,+2.91156164092348225e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,5,+2.61015721568253574e-04,6,RE,-2.09759652570149583e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,5,+2.61015721568253574e-04,6,IM,+1.84717094320259479e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,6,+3.16227766016837939e-04,2,RE,-4.00287744390163352e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,6,+3.16227766016837939e-04,2,IM,+3.81924980196146757e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,6,+3.16227766016837939e-04,4,RE,-6.22519292025580178e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,6,+3.16227766016837939e-04,4,IM,+2.88326146542352670e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,6,+3.16227766016837939e-04,6,RE,-3.18536166148522793e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,6,+3.16227766016837939e-04,6,IM,+1.82239590006884799e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,7,+3.83118684955728529e-04,2,RE,-6.48060994356074963e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,7,+3.83118684955728529e-04,2,IM,+3.79176858804177634e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,7,+3.83118684955728529e-04,4,RE,-5.66371151134847286e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,7,+3.83118684955728529e-04,4,IM,+2.84939729615861121e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,7,+3.83118684955728529e-04,6,RE,-3.69934961842839959e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,7,+3.83118684955728529e-04,6,IM,+1.79286551273487986e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,8,+4.64158883361277732e-04,2,RE,-1.22917696713569012e-28
TOTAL,REFERENCE,+1.00000000000000002e-03,8,+4.64158883361277732e-04,2,IM,+3.75882247322544490e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,8,+4.64158883361277732e-04,4,RE,-2.94983667697650735e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,8,+4.64158883361277732e-04,4,IM,+2.80897915418945849e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,8,+4.64158883361277732e-04,6,RE,-2.98312231665926318e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,8,+4.64158883361277732e-04,6,IM,+1.75778614663628662e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,9,+5.62341325190349097e-04,2,RE,+2.55234673404320629e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,9,+5.62341325190349097e-04,2,IM,+3.71940951780277836e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,9,+5.62341325190349097e-04,4,RE,-3.92393508523401897e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,9,+5.62341325190349097e-04,4,IM,+2.76088738772197286e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,9,+5.62341325190349097e-04,6,RE,-3.38854070515434304e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,9,+5.62341325190349097e-04,6,IM,+1.71628487394706564e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,10,+6.81292069057960856e-04,2,RE,-4.10468641191437994e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,10,+6.81292069057960856e-04,2,IM,+3.67238153721987671e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,10,+6.81292069057960856e-04,4,RE,-4.29036342768235995e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,10,+6.81292069057960856e-04,4,IM,+2.70387706932505199e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,10,+6.81292069057960856e-04,6,RE,-2.59512196820006545e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,10,+6.81292069057960856e-04,6,IM,+1.66742662114158086e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,11,+8.25404185268018118e-04,2,RE,-1.52336054719441548e-30
TOTAL,REFERENCE,+1.00000000000000002e-03,11,+8.25404185268018118e-04,2,IM,+3.61643945879240865e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,11,+8.25404185268018118e-04,4,RE,-3.40764975648874378e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,11,+8.25404185268018118e-04,4,IM,+2.63659450121982428e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,11,+8.25404185268018118e-04,6,RE,-4.06205350530251114e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,11,+8.25404185268018118e-04,6,IM,+1.61024579309070825e-13
