vector_class,lambda_index,lambda_m,gap_index,gap_m,harmonic,quadrature,value_N_m
YUKAWA,GRID_00,+1.00000000000000008e-05,0,+1.00000000000000005e-04,2,RE,+3.81419539773106896e-42
YUKAWA,GRID_00,+1.00000000000000008e-05,0,+1.00000000000000005e-04,2,IM,+8.34818497686752211e-30
YUKAWA,GRID_00,+1.00000000000000008e-05,0,+1.00000000000000005e-04,4,RE,+3.80167881230672326e-42
YUKAWA,GRID_00,+1.00000000000000008e-05,0,+1.00000000000000005e-04,4,IM,+1.66761787895802622e-29
YUKAWA,GRID_00,+1.00000000000000008e-05,0,+1.00000000000000005e-04,6,RE,+3.78214582569195861e-42
YUKAWA,GRID_00,+1.00000000000000008e-05,0,+1.00000000000000005e-04,6,IM,+2.49638396834015064e-29
YUKAWA,GRID_00,+1.00000000000000008e-05,1,+1.21152765862858885e-04,2,RE,+4.57265569674736393e-43
YUKAWA,GRID_00,+1.00000000000000008e-05,1,+1.21152765862858885e-04,2,IM,+1.00824597184286044e-30
YUKAWA,GRID_00,+1.00000000000000008e-05,1,+1.21152765862858885e-04,4,RE,+4.55968306309165041e-43
YUKAWA,GRID_00,+1.00000000000000008e-05,1,+1.21152765862858885e-04,4,IM,+2.01405321008614021e-30
YUKAWA,GRID_00,+1.00000000000000008e-05,1,+1.21152765862858885e-04,6,RE,+4.52561813041902778e-43
YUKAWA,GRID_00,+1.00000000000000008e-05,1,+1.21152765862858885e-04,6,IM,+3.01498895044834289e-30
YUKAWA,GRID_00,+1.00000000000000008e-05,2,+1.46779926762206892e-04,2,RE,-3.39232213727609971e-44
YUKAWA,GRID_00,+1.00000000000000008e-05,2,+1.46779926762206892e-04,2,IM,+7.78654497052356401e-32
YUKAWA,GRID_00,+1.00000000000000008e-05,2,+1.46779926762206892e-04,4,RE,-3.38144852892111733e-44
YUKAWA,GRID_00,+1.00000000000000008e-05,2,+1.46779926762206892e-04,4,IM,+1.55542544151636263e-31
YUKAWA,GRID_00,+1.00000000000000008e-05,2,+1.46779926762206892e-04,6,RE,-3.35592245887192196e-44
YUKAWA,GRID_00,+1.00000000000000008e-05,2,+1.46779926762206892e-04,6,IM,+2.32843389265806067e-31
YUKAWA,GRID_00,+1.00000000000000008e-05,3,+1.77827941003892270e-04,2,RE,-1.54308819905399269e-45
YUKAWA,GRID_00,+1.00000000000000008e-05,3,+1.77827941003892270e-04,2,IM,+3.49820559634803102e-33
YUKAWA,GRID_00,+1.00000000000000008e-05,3,+1.77827941003892270e-04,4,RE,-1.53585255316092829e-45
YUKAWA,GRID_00,+1.00000000000000008e-05,3,+1.77827941003892270e-04,4,IM,+6.98794824812591950e-33
YUKAWA,GRID_00,+1.00000000000000008e-05,3,+1.77827941003892270e-04,6,RE,-1.52698848379819137e-45
YUKAWA,GRID_00,+1.00000000000000008e-05,3,+1.77827941003892270e-04,6,IM,+1.04607857402511671e-32
YUKAWA,GRID_00,+1.00000000000000008e-05,4,+2.15443469003188449e-04,2,RE,+3.62420937159552166e-47
YUKAWA,GRID_00,+1.00000000000000008e-05,4,+2.15443469003188449e-04,2,IM,+8.15257643442476686e-35
YUKAWA,GRID_00,+1.00000000000000008e-05,4,+2.15443469003188449e-04,4,RE,+3.61729750385824242e-47
YUKAWA,GRID_00,+1.00000000000000008e-05,4,+2.15443469003188449e-04,4,IM,+1.62854275314537533e-34
YUKAWA,GRID_00,+1.00000000000000008e-05,4,+2.15443469003188449e-04,6,RE,+3.59543834435767526e-47
YUKAWA,GRID_00,+1.00000000000000008e-05,4,+2.15443469003188449e-04,6,IM,+2.43788762930085089e-34
YUKAWA,GRID_00,+1.00000000000000008e-05,5,+2.61015721568253574e-04,2,RE,+3.77777497387040409e-49
YUKAWA,GRID_00,+1.00000000000000008e-05,5,+2.61015721568253574e-04,2,IM,+8.57806652244994661e-37
YUKAWA,GRID_00,+1.00000000000000008e-05,5,+2.61015721568253574e-04,4,RE,+3.77385285648309703e-49
YUKAWA,GRID_00,+1.00000000000000008e-05,5,+2.61015721568253574e-04,4,IM,+1.71353750591131381e-36
YUKAWA,GRID_00,+1.00000000000000008e-05,5,+2.61015721568253574e-04,6,RE,+3.73663858687012913e-49
YUKAWA,GRID_00,+1.00000000000000008e-05,5,+2.61015721568253574e-04,6,IM,+2.56512185245076865e-36
